datetime,text,cleaned_text,sentiment,sentiment_value
2023-01-01 01:07:00+00:00,"Unfortunately, successive governments in Pakistan have been meeting tax revenue targets through the imposition of regressive indirect taxes, even in the garb of income taxation. https://www.thenews.com.pk/tns/detail/1025768-a-tax-policy-proposal",unfortunately successive governments pakistan meeting tax revenue targets imposition regressive indirect taxes even garb income taxation,Negative,-0.0772
2023-01-01 01:14:00+00:00,Taxing the rich and facilitating lower/fixed income earners or green-field industries is always resisted by the powerful elites and unscrupulous traders as this will eventually increase their tax burdens. https://www.thenews.com.pk/tns/detail/1025768-a-tax-policy-proposal,taxing rich facilitating lowerfixed income earners greenfield industries always resisted powerful elites unscrupulous traders eventually increase tax burdens,Positive,0.7351
2023-01-01 03:01:00+00:00,"⁍ @HassanSMohamud signs the 2023 national budget bill into law  ⁍ @SomaliPM signs 2023 commitments with @HonBeenebeene, @HonJibrilAHaji  ⁍ Ministry of Education to recruit 3,000 new teachers  ⁍ Sheikh Isma'il Mohamud Igal, prominent Somali cleric, religious scholar, has died",⁍ signs national budget bill law ⁍ signs commitments ⁍ ministry education recruit new teachers ⁍ sheikh ismail mohamud igal prominent somali cleric religious scholar died,Negative,-0.2023
2023-01-01 04:02:00+00:00,Why are these persons not in the no flight list till now  #DGCA #NarendraModi #aviation #civil #indianeconomy https://www.zeebiz.com/india/video-gallery-viral-video-fight-breaks-out-between-passengers-on-bangkok-kolkata-flight-215175,persons flight list till,Neutral,0.0
2023-01-01 05:06:00+00:00,"@nsitharaman ,Now it's high time ,All Indian citizens pay Tax .This can be achieved by implementing in next budget ,Idea which will compile,Request & motivate Indians to pay Tax.SOP for the ax  should be simple,Single window & user friendly for all to pay willingly .Jay Hind",high time indian citizens pay tax achieved implementing next budget idea compilerequest motivate indians pay taxsop ax simplesingle window user friendly pay willingly jay hind,Positive,0.5574
2023-01-01 06:06:00+00:00,"Hi guys! We're having a promotion for laptop cleaning and SSD upgrade at PC Pop till 15th January 2023. If you're on a budget, spend a little and your laptop will be great as a new one! Whatsapp this link https://wa.me/601154201577",hi guys promotion laptop cleaning ssd upgrade pc pop till th january youre budget spend little laptop great new one whatsapp link,Positive,0.5888
2023-01-01 06:20:00+00:00,Just posted a photo @ Budget housing & properties https://www.instagram.com/p/Cm3L2Wevvg2/?igshid=YTgzYjQ4ZTY=,posted photo budget housing properties,Neutral,0.0
2023-01-01 07:04:00+00:00,Dulu 1st ramadan 88kg 30 ramadan 82kg.  Should i budget the same?,dulu st ramadan kg ramadan kg budget,Neutral,0.0
2023-01-01 07:31:00+00:00,"I thought, I should say friends, ""Happy New Year"" but seeing the celebrating & fireworks 🎇 across the 🇵🇰, I felt that it is futile to say anything to this stupid nation. None realizes that Rs.800 bn Mini-Budget is ready to f***k the nation as gift for 2023.",thought say friends happy new year seeing celebrating fireworks 🎇 across 🇵🇰 felt futile say anything stupid nation none realizes rs bn minibudget ready fk nation gift,Positive,0.8625
2023-01-01 09:38:00+00:00,"They've been misadvised. On that basis, no councillor would be able to vote on council tax. Only people _receiving_ rental income should have to recuse themselves.",theyve misadvised basis councillor would able vote council tax people receiving rental income recuse,Neutral,0.0
